n_estimators,max_depth,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,val_bacc,val_f1_worse
100,-1,0.05,15,20,1.0,1.0,0.1,1.0,0.6840388007054674,0.32758620689655166
500,3,0.05,63,20,0.8,1.0,0.0,0.1,0.6832451499118166,0.37209302325581395
100,3,0.2,63,20,1.0,1.0,0.0,1.0,0.6827454438565549,0.33962264150943394
100,-1,0.1,15,20,0.8,1.0,0.0,1.0,0.6827160493827161,0.3636363636363636
300,3,0.05,63,10,0.8,0.8,0.0,1.0,0.6809523809523809,0.3333333333333333
100,-1,0.05,31,20,0.8,1.0,0.0,1.0,0.6801587301587303,0.3440860215053763
100,5,0.2,31,20,0.8,0.8,0.1,1.0,0.6796296296296296,0.37837837837837845
100,-1,0.05,31,10,1.0,0.8,0.0,0.1,0.6786008230452675,0.35443037974683544
300,-1,0.05,63,10,1.0,0.8,0.1,0.1,0.6783362727807173,0.393939393939394
300,-1,0.05,63,30,1.0,0.8,0.1,1.0,0.6783362727807173,0.37142857142857144
300,5,0.05,15,10,0.8,0.8,0.0,1.0,0.6765432098765433,0.3888888888888889
100,5,0.2,15,10,1.0,0.8,0.1,1.0,0.676278659611993,0.36111111111111116
300,5,0.05,15,10,0.8,1.0,0.0,1.0,0.6757789535567312,0.38461538461538464
100,-1,0.05,31,20,1.0,1.0,0.1,0.1,0.6757789535567312,0.37037037037037035
100,3,0.2,15,30,0.8,0.8,0.1,0.1,0.6745149911816579,0.3428571428571428
100,3,0.2,63,30,0.8,0.8,0.1,0.1,0.6745149911816579,0.3428571428571428
300,-1,0.1,63,10,1.0,0.8,0.1,0.1,0.6744855967078189,0.39436619718309857
100,5,0.05,31,10,1.0,1.0,0.1,1.0,0.6740152851263962,0.3389830508474576
300,-1,0.05,15,10,1.0,1.0,0.0,0.1,0.6739564961787184,0.33333333333333337
100,-1,0.1,31,20,1.0,1.0,0.0,1.0,0.6734567901234567,0.3733333333333333
500,3,0.05,15,30,0.8,0.8,0.0,1.0,0.6732216343327454,0.35416666666666663
500,3,0.05,15,30,1.0,0.8,0.0,1.0,0.6732216343327454,0.35416666666666663
500,3,0.05,31,30,1.0,1.0,0.0,0.1,0.6732216343327454,0.3695652173913043
100,3,0.2,31,30,1.0,0.8,0.1,1.0,0.6719282774838331,0.3076923076923077
100,3,0.2,63,30,0.8,0.8,0.1,1.0,0.6719282774838331,0.3076923076923077
500,-1,0.05,15,10,1.0,1.0,0.1,1.0,0.6718988830099941,0.3529411764705882
100,5,0.1,31,30,1.0,0.8,0.1,0.1,0.6706349206349206,0.3409090909090909
500,5,0.05,63,10,0.8,0.8,0.1,1.0,0.6703703703703704,0.3835616438356164
500,5,0.05,31,10,0.8,0.8,0.1,1.0,0.6703703703703704,0.3835616438356164
300,-1,0.05,15,20,1.0,0.8,0.1,1.0,0.6698412698412698,0.32
100,3,0.2,31,30,0.8,1.0,0.0,0.1,0.6691064079952969,0.34
500,3,0.05,15,10,1.0,0.8,0.1,1.0,0.6678130511463846,0.3404255319148936
300,-1,0.05,31,10,0.8,0.8,0.0,1.0,0.667283950617284,0.411764705882353
300,5,0.05,31,10,0.8,1.0,0.0,0.1,0.667283950617284,0.4000000000000001
100,3,0.2,15,30,0.8,1.0,0.1,0.1,0.6670487948265725,0.3366336633663366
300,5,0.05,63,30,0.8,0.8,0.1,0.1,0.6659905937683716,0.36111111111111116
100,-1,0.2,63,10,1.0,0.8,0.1,1.0,0.6657260435038213,0.36923076923076925
500,3,0.05,31,10,1.0,1.0,0.1,0.1,0.664726631393298,0.37647058823529417
500,3,0.05,63,10,1.0,1.0,0.1,0.1,0.664726631393298,0.37647058823529417
500,3,0.05,15,20,1.0,1.0,0.0,1.0,0.6636978248089359,0.3333333333333333
500,3,0.05,31,20,0.8,1.0,0.0,1.0,0.6636978248089359,0.3333333333333333
100,3,0.1,31,10,0.8,0.8,0.0,0.1,0.6634626690182245,0.29230769230769227
500,5,0.05,63,10,0.8,0.8,0.0,0.1,0.6634038800705467,0.3548387096774193
